iter	Passed	Remaining
329	3150	6396
330	3159	6386
331	3168	6374
332	3177	6364
333	3184	6349
334	3193	6338
335	3202	6327
336	3210	6316
337	3219	6306
338	3229	6296
339	3237	6285
340	3247	6276
341	3257	6267
342	3267	6258
343	3275	6247
344	3284	6236
345	3294	6226
346	3302	6214
347	3311	6204
348	3320	6193
349	3329	6183
350	3338	6173
351	3348	6164
352	3357	6154
353	3366	6143
354	3376	6134
355	3385	6124
356	3394	6114
357	3403	6103
358	3412	6093
359	3421	6083
360	3430	6072
361	3439	6062
362	3449	6052
363	3459	6043
364	3468	6033
365	3487	6040
366	3496	6030
367	3505	6020
368	3514	6010
369	3523	5999
370	3532	5989
371	3541	5979
372	3550	5967
373	3559	5957
374	3567	5945
375	3575	5934
376	3584	5923
377	3593	5912
378	3601	5901
379	3610	5891
380	3619	5880
381	3629	5871
382	3640	5864
383	3650	5855
384	3659	5845
385	3668	5834
386	3676	5822
387	3684	5812
388	3694	5803
389	3704	5794
390	3713	5783
391	3722	5773
392	3731	5763
393	3740	5753
394	3749	5743
395	3758	5733
396	3767	5722
397	3776	5712
398	3785	5702
399	3794	5692
400	3805	5683
401	3814	5674
402	3824	5664
403	3832	5653
404	3841	5644
405	3851	5634
406	3860	5624
407	3869	5614
408	3880	5607
409	3890	5598
410	3899	5587
411	3908	5578
412	3917	5567
413	3925	5556
414	3934	5546
415	3944	5536
416	3953	5526
417	3961	5516
418	3970	5505
419	3982	5498
420	3991	5489
421	4000	5479
422	4009	5469
423	4019	5460
424	4028	5450
425	4037	5440
426	4046	5430
427	4055	5419
428	4064	5410
429	4075	5402
430	4085	5393
431	4094	5383
432	4103	5372
433	4112	5362
434	4121	5352
435	4130	5342
436	4139	5333
437	4149	5324
438	4158	5314
439	4167	5304
440	4176	5294
441	4185	5283
442	4193	5273
443	4202	5263
444	4210	5251
445	4219	5241
446	4228	5231
447	4237	5221
448	4247	5212
449	4256	5202
450	4265	5192
451	4275	5183
452	4285	5175
453	4295	5165
454	4304	5155
455	4313	5145
456	4321	5135
457	4330	5124
458	4339	5114
459	4348	5104
460	4356	5093
461	4366	5084
462	4375	5074
463	4384	5064
464	4393	5054
465	4404	5046
466	4413	5036
467	4425	5030
468	4436	5022
469	4449	5017
470	4464	5013
471	4479	5011
472	4492	5005
473	4509	5003
474	4521	4997
475	4534	4991
476	4545	4984
477	4556	4975
478	4567	4967
479	4578	4959
480	4588	4951
481	4599	4942
482	4610	4935
483	4620	4926
484	4631	4917
485	4642	4909
486	4654	4902
487	4665	4894
488	4675	4886
489	4687	4878
490	4699	4871
491	4710	4863
492	4722	4856
493	4733	4848
494	4748	4844
495	4760	4836
496	4769	4826
497	4782	4821
498	4794	4813
499	4804	4804
500	4816	4797
501	4828	4789
502	4842	4784
503	4855	4778
504	4870	4774
505	4895	4779
506	4906	4770
507	4915	4760
508	4926	4752
509	4938	4744
510	4948	4735
511	4965	4732
512	4977	4725
513	4989	4717
514	4999	4708
515	5009	4699
516	5020	4690
517	5030	4680
518	5040	4671
519	5052	4663
520	5063	4655
521	5074	4646
522	5086	4638
523	5097	4630
524	5108	4622
525	5119	4613
526	5130	4604
527	5142	4596
528	5153	4588
529	5164	4579
530	5174	4570
531	5186	4562
532	5199	4555
533	5209	4545
534	5219	4536
535	5229	4527
536	5244	4521
537	5253	4511
538	5265	4503
539	5277	4495
540	5291	4489
541	5305	4482
542	5317	4475
543	5332	4469
544	5344	4461
545	5356	4453
546	5370	4447
547	5384	4440
548	5398	4435
549	5411	4427
550	5423	4419
551	5436	4412
552	5447	4403
553	5458	4394
554	5471	4386
555	5488	4383
556	5506	4379
557	5520	4372
558	5533	4365
559	5548	4359
560	5560	4351
561	5573	4343
562	5585	4335
563	5597	4327
564	5609	4318
565	5620	4309
566	5631	4300
567	5644	4292
568	5655	4283
569	5667	4275
570	5681	4268
571	5694	4261
572	5708	4253
573	5725	4249
574	5742	4244
575	5767	4245
576	5795	4248
577	5812	4243
578	5830	4239
579	5849	4236
580	5866	4230
581	5883	4225
582	5901	4220
583	5918	4215
584	5944	4216
585	5960	4211
586	5981	4208
587	5992	4198
588	6003	4188
589	6015	4180
590	6029	4172
591	6043	4165
592	6059	4158
593	6071	4149
594	6083	4140
595	6095	4131
596	6111	4125
597	6139	4127
598	6150	4117
599	6159	4106
600	6171	4097
601	6182	4087
602	6193	4077
603	6203	4067
604	6212	4056
605	6223	4046
606	6234	4036
607	6249	4029
608	6263	4021
609	6278	4013
610	6291	4005
611	6306	3998
612	6321	3991
613	6338	3984
614	6349	3975
615	6360	3965
616	6371	3954
617	6381	3944
618	6392	3934
619	6403	3924
620	6412	3913
621	6422	3903
622	6433	3893
623	6443	3882
624	6456	3873
625	6466	3863
626	6475	3852
627	6484	3841
628	6493	3830
629	6502	3819
630	6512	3808
631	6521	3797
632	6531	3786
633	6545	3778
634	6555	3767
635	6565	3757
636	6576	3747
637	6586	3737
638	6598	3727
639	6608	3717
640	6618	3706
641	6627	3695
642	6636	3684
643	6645	3673
644	6654	3662
645	6663	3651
646	6673	3640
647	6681	3629
648	6690	3618
649	6700	3608
650	6709	3597
651	6723	3588
652	6734	3578
653	6744	3568
654	6752	3556
655	6766	3548
656	6779	3539
657	6789	3528
658	6798	3517
659	6807	3506
660	6815	3495
661	6821	3482
662	6827	3470
663	6836	3459
664	6846	3449
665	6855	3438
666	6865	3427
667	6874	3416
668	6883	3405
669	6892	3394
670	6901	3383
671	6910	3372
672	6919	3362
673	6929	3351
674	6940	3341
675	6949	3330
676	6959	3320
677	6968	3309
678	6977	3298
679	6986	3287
680	6996	3277
681	7005	3266
682	7014	3255
683	7023	3244
684	7032	3233
685	7042	3223
686	7051	3212
687	7060	3201
688	7069	3190
689	7078	3180
690	7088	3169
691	7098	3159
692	7107	3148
693	7116	3137
694	7125	3127
695	7135	3116
696	7146	3106
697	7155	3096
698	7164	3085
699	7173	3074
700	7183	3063
701	7191	3052
702	7200	3042
703	7209	3031
704	7219	3020
705	7228	3010
706	7237	2999
707	7246	2988
708	7255	2978
709	7265	2967
710	7273	2956
711	7282	2945
712	7292	2935
713	7301	2924
714	7310	2914
715	7320	2903
716	7329	2892
717	7339	2882
718	7349	2872
719	7370	2866
720	7379	2855
721	7386	2844
722	7395	2833
723	7404	2822
724	7413	2812
725	7422	2801
726	7432	2790
727	7441	2780
728	7450	2769
729	7460	2759
730	7469	2748
731	7478	2737
732	7487	2727
733	7496	2716
734	7505	2706
735	7514	2695
736	7524	2685
737	7534	2674
738	7541	2663
739	7551	2653
740	7560	2642
741	7570	2632
742	7579	2621
743	7588	2611
744	7597	2600
745	7606	2589
746	7615	2579
747	7624	2568
748	7634	2558
749	7640	2546
750	7648	2536
751	7658	2525
752	7667	2515
753	7676	2504
754	7686	2494
755	7695	2483
756	7704	2473
757	7713	2462
758	7722	2451
759	7732	2441
760	7741	2431
761	7752	2421
762	7763	2411
763	7775	2402
764	7785	2391
765	7795	2381
766	7804	2370
767	7813	2360
768	7823	2350
769	7834	2340
770	7844	2329
771	7853	2319
772	7862	2308
773	7870	2298
774	7879	2287
775	7889	2277
776	7897	2266
777	7907	2256
778	7916	2245
779	7925	2235
780	7934	2224
781	7944	2214
782	7956	2204
783	7965	2194
784	7975	2184
785	7984	2173
786	7993	2163
787	8001	2152
788	8010	2142
789	8019	2131
790	8028	2121
791	8037	2110
792	8047	2100
793	8056	2090
794	8066	2079
795	8075	2069
796	8084	2059
797	8093	2048
798	8102	2038
799	8111	2027
800	8123	2018
801	8134	2008
802	8148	1999
803	8161	1989
804	8176	1980
805	8188	1970
806	8198	1960
807	8206	1950
808	8215	1939
809	8224	1929
810	8232	1918
811	8241	1908
812	8250	1897
813	8259	1887
814	8268	1876
815	8277	1866
816	8286	1856
817	8294	1845
818	8303	1835
819	8311	1824
820	8320	1814
821	8328	1803
822	8337	1793
823	8346	1782
824	8356	1772
825	8366	1762
826	8375	1752
827	8395	1744
828	8427	1738
829	8445	1729
830	8462	1721
831	8488	1713
832	8504	1705
833	8531	1698
834	8548	1689
835	8576	1682
836	8603	1675
837	8622	1666
838	8631	1656
839	8640	1645
840	8649	1635
841	8659	1624
842	8668	1614
843	8677	1603
844	8686	1593
845	8695	1582
846	8705	1572
847	8715	1562
848	8724	1551
849	8734	1541
850	8743	1530
851	8754	1520
852	8764	1510
853	8772	1499
854	8782	1489
855	8791	1478
856	8800	1468
857	8809	1458
858	8818	1447
859	8827	1437
860	8836	1426
861	8846	1416
862	8855	1405
863	8864	1395
864	8873	1384
865	8882	1374
866	8891	1364
867	8900	1353
868	8911	1343
869	8920	1332
870	8929	1322
871	8938	1312
872	8949	1301
873	8968	1292
874	9033	1290
875	9055	1281
876	9064	1271
877	9073	1260
878	9082	1250
879	9091	1239
880	9100	1229
881	9110	1218
882	9120	1208
883	9129	1197
884	9138	1187
885	9144	1176
886	9153	1166
887	9163	1155
888	9173	1145
889	9182	1134
890	9191	1124
891	9201	1114
892	9210	1103
893	9219	1093
894	9228	1082
895	9237	1072
896	9246	1061
897	9255	1051
898	9265	1040
899	9274	1030
900	9283	1020
901	9291	1009
902	9301	999
903	9310	988
904	9319	978
905	9328	967
906	9337	957
907	9346	947
908	9356	936
909	9366	926
910	9375	915
911	9384	905
912	9393	895
913	9403	884
914	9412	874
915	9421	863
916	9431	853
917	9437	842
918	9446	832
919	9455	822
920	9464	811
921	9473	801
922	9482	791
923	9491	780
924	9501	770
925	9509	759
926	9519	749
927	9528	739
928	9537	728
929	9547	718
930	9556	708
931	9566	697
932	9576	687
933	9585	677
934	9594	666
935	9603	656
936	9613	646
937	9622	636
938	9631	625
939	9640	615
940	9649	605
941	9658	594
942	9667	584
943	9676	574
944	9685	563
945	9698	553
946	9708	543
947	9717	533
948	9727	522
949	9736	512
950	9745	502
951	9754	491
952	9764	481
953	9783	471
954	9792	461
955	9801	451
956	9810	440
957	9819	430
958	9828	420
959	9836	409
960	9845	399
961	9853	389
962	9863	378
963	9871	368
964	9880	358
965	9888	348
966	9900	337
967	9917	327
968	9926	317
969	9935	307
970	9944	297
971	9953	286
972	9962	276
973	9971	266
974	9982	255
975	9991	245
976	10000	235
977	10010	225
978	10019	214
979	10029	204
980	10037	194
981	10047	184
982	10056	173
983	10065	163
984	10074	153
985	10083	143
986	10092	132
987	10101	122
988	10111	112
989	10120	102
990	10129	91
991	10139	81
992	10149	71
993	10158	61
994	10168	51
995	10178	40
996	10188	30
997	10198	20
998	10207	10
999	10216	0
