iter	Logloss
0	0.6311649229
1	0.57985159
2	0.5399541083
3	0.5043564288
4	0.4748629217
5	0.4523434606
6	0.4344537278
7	0.4186398164
8	0.4051673497
9	0.3938124116
10	0.3853322948
11	0.3775849776
12	0.3709576705
13	0.3655800307
14	0.360709726
15	0.3569447865
16	0.3537932074
17	0.3502344366
18	0.3470961012
19	0.3444186589
20	0.3426116221
21	0.3408557995
22	0.3393174682
23	0.3375070345
24	0.3366302645
25	0.3354090029
26	0.334118558
27	0.3329820951
28	0.3320161097
29	0.3310346544
30	0.3303751499
31	0.3298073364
32	0.3292970772
33	0.3288086654
34	0.3281762821
35	0.3278461712
36	0.3273177297
37	0.3270034407
38	0.3266232774
39	0.3262916353
40	0.325870885
41	0.325676796
42	0.3253760913
43	0.325114821
44	0.3248479893
45	0.3246484693
46	0.3243393214
47	0.3241661528
48	0.3239810167
49	0.3238210413
50	0.3236713731
51	0.3234937254
52	0.3233607773
53	0.3231432171
54	0.3229922041
55	0.3227622221
56	0.3225853502
57	0.3224715354
58	0.3223225596
59	0.3221697926
60	0.3220395419
61	0.3219320174
62	0.3218127088
63	0.3217222173
64	0.3216437862
65	0.3215360806
66	0.3214333709
67	0.3213167026
68	0.3212257258
69	0.3211498889
70	0.321012898
71	0.3208865512
72	0.320809278
73	0.3207264901
74	0.3206431963
75	0.3205875485
76	0.320497213
77	0.320432823
78	0.3203496775
79	0.3202786392
80	0.3201809639
81	0.3201155944
82	0.3200186804
83	0.3199568415
84	0.3198979148
85	0.3198313997
86	0.3197272927
87	0.3196648814
88	0.3195954191
89	0.3195163994
90	0.3194477857
91	0.3193443923
92	0.319280648
93	0.3191994256
94	0.31914587
95	0.3190641322
96	0.3190082334
97	0.3189511787
98	0.3189086539
99	0.3188464807
100	0.3187981318
101	0.3187601189
102	0.3186949874
103	0.3186378765
104	0.3185952728
105	0.3185542696
106	0.3185006545
107	0.3184594776
108	0.31840583
109	0.3183288139
110	0.3182651534
111	0.3182240266
112	0.318172167
113	0.3181190668
114	0.3180817289
115	0.3180342449
116	0.3179998196
117	0.3179678687
118	0.3179217402
119	0.3178745205
120	0.3178185344
121	0.3177802248
122	0.3177141911
123	0.317684489
124	0.3176323801
125	0.3175754462
126	0.3175164408
127	0.3174752869
128	0.3174328161
129	0.3173780517
130	0.3173401101
131	0.3172939086
132	0.3172467032
133	0.3172043182
134	0.3171642297
135	0.3171193847
136	0.3170851738
137	0.3170411151
138	0.3170011462
139	0.3169459457
140	0.3169140867
141	0.3168717641
142	0.3168320412
143	0.3167804152
144	0.316748494
145	0.3166916421
146	0.3166460822
147	0.3165910309
148	0.3165377055
149	0.3164678231
150	0.3164095829
151	0.3163407293
152	0.3162808995
153	0.3162263518
154	0.3161794839
155	0.3161285553
156	0.3160831966
157	0.3160332421
158	0.3159824034
159	0.3159193945
160	0.3158782494
161	0.3158323342
162	0.3157955147
163	0.3157543455
164	0.3157216985
165	0.3156878217
166	0.3156426833
167	0.3155910572
168	0.3155246875
169	0.3154943665
170	0.3154532653
171	0.3154154928
172	0.3153590188
173	0.3153006877
174	0.3152657762
175	0.3152324859
176	0.3151741351
177	0.315102315
178	0.3150584672
179	0.3150056818
180	0.3149580091
181	0.3149211083
182	0.31488025
183	0.3148348806
184	0.3147822983
185	0.3147500796
186	0.3146992971
187	0.3146610617
