iter	Logloss
0	0.6343594634
1	0.6014037841
2	0.5641130803
3	0.5382425121
4	0.520347578
5	0.5052943316
6	0.4940932165
7	0.4774811748
8	0.4614255145
9	0.4562140104
10	0.4469940625
11	0.4431194933
12	0.4375768786
13	0.433124438
14	0.4265077954
15	0.4210729481
16	0.4177651776
17	0.4169456758
18	0.4148479987
19	0.4100772415
20	0.4083972326
21	0.4067448542
22	0.405035863
23	0.4030169192
24	0.4015176021
25	0.3978052419
26	0.3965223209
27	0.3936430066
28	0.3909383489
29	0.3884405581
30	0.3864054116
31	0.3851476351
32	0.3832396973
33	0.3815491562
34	0.3790643885
35	0.3776624576
36	0.3760974743
37	0.3754035749
38	0.3739794397
39	0.3727719759
40	0.3718132598
41	0.3710335357
42	0.3699162767
43	0.3689976453
44	0.3674175328
45	0.3666306414
46	0.366100872
47	0.3653486895
48	0.3646432512
49	0.3634202999
50	0.3617170424
51	0.3603852831
52	0.35995552
53	0.3589820604
54	0.3579420811
55	0.3573649086
56	0.3570414485
57	0.3565372799
58	0.3554198835
59	0.3534206626
60	0.3525420047
61	0.3507839908
62	0.3488660591
63	0.3485090038
64	0.3476938734
65	0.347090812
66	0.3458853341
67	0.3449728083
68	0.343954569
69	0.3426713991
70	0.3411740351
71	0.3409570303
72	0.3400626595
73	0.339294598
74	0.3383237252
75	0.337189954
76	0.3369581821
77	0.3351816432
78	0.3341717873
79	0.333068314
80	0.3322516032
81	0.3310300882
82	0.3296971125
83	0.3285148442
84	0.3279137844
85	0.3273711041
86	0.32607592
87	0.3250085027
88	0.3239378031
89	0.3232871285
90	0.3220584455
91	0.321021426
92	0.3202157355
93	0.319636458
94	0.3183592589
95	0.3178220283
96	0.316683105
97	0.3158465688
98	0.315324308
99	0.3142797582
100	0.3124974263
101	0.3113679186
102	0.3107795051
103	0.3094688667
104	0.309035808
105	0.3080961353
106	0.3072307463
107	0.3059204954
108	0.3050884907
109	0.303753612
110	0.3025941144
111	0.3021729033
112	0.3015628146
113	0.3007051476
114	0.3000403214
115	0.2989735195
116	0.2975950241
117	0.2973811532
118	0.2963899128
119	0.2957838659
120	0.2947832079
121	0.2940255365
122	0.2929336273
123	0.292492859
124	0.2910456964
125	0.2907587514
126	0.2894642446
127	0.2885332157
128	0.2876119401
129	0.2872556813
130	0.2866760124
131	0.2863177052
132	0.2855267328
133	0.2853605181
134	0.2848481612
135	0.284549841
136	0.2837948735
137	0.2832305026
138	0.2823090971
139	0.2815398089
140	0.281008164
141	0.2806807901
142	0.2803611669
143	0.2797105306
144	0.2792475679
145	0.2784816581
146	0.2779519906
147	0.2773087346
148	0.2768626432
149	0.2765832906
150	0.2759887836
151	0.2754117224
152	0.274752008
153	0.2743839795
154	0.2726683666
155	0.2719413085
156	0.2712276303
157	0.2703633156
158	0.2694753428
159	0.2686236685
160	0.2681340557
161	0.2677493349
162	0.2674853792
163	0.2665888021
164	0.2660399929
165	0.2654874077
166	0.2652502706
167	0.26452529
168	0.2641413276
169	0.2633651194
170	0.2629239198
171	0.2625287294
172	0.2617062183
173	0.2610268793
174	0.2604692001
175	0.2600628519
176	0.2585095612
177	0.2581694842
178	0.2578437319
179	0.2573215409
180	0.2567653907
181	0.2563839219
182	0.2559338011
183	0.2552490375
184	0.2544269417
185	0.25321494
186	0.2530235515
187	0.2524940883
188	0.2521963557
189	0.2516298425
190	0.2512122664
191	0.2509725312
192	0.2497872186
193	0.2491573504
194	0.2483634832
195	0.2478924677
196	0.2473938619
197	0.2468631697
198	0.2466303408
199	0.2454335574
200	0.2452152456
201	0.2447335338
202	0.2443933595
203	0.2439510284
204	0.2433819053
205	0.2428231759
206	0.2420052339
207	0.2414212987
208	0.241080552
209	0.2399589431
210	0.2396578018
211	0.2392772203
212	0.2390620167
213	0.2386585774
214	0.238013902
215	0.2378144684
216	0.2366341913
217	0.2364441691
218	0.2355101616
219	0.2352410473
220	0.2343929339
221	0.2338966277
222	0.2325886623
223	0.2323016379
224	0.2317576755
225	0.2315865611
226	0.2309816404
227	0.2307260944
228	0.2305784908
229	0.2302288963
230	0.2296854421
231	0.2293096639
232	0.2287188119
233	0.228507074
234	0.2278413202
235	0.2264387848
236	0.2259153669
237	0.2254458137
238	0.2244938604
239	0.2242882611
240	0.2242395241
241	0.2233471162
242	0.223017586
243	0.2225420626
244	0.2220993859
245	0.221561488
246	0.2213624262
247	0.2209829291
248	0.2206094127
249	0.2201532303
250	0.2197457589
251	0.2192485667
252	0.2191621484
253	0.2187043786
254	0.2174978572
255	0.2168314556
256	0.2166271506
257	0.2163571251
258	0.2160113767
259	0.2155182252
260	0.2153461131
261	0.2150581523
262	0.2146670534
263	0.2144377644
264	0.214165129
265	0.2140238897
266	0.2139892848
267	0.2134656359
268	0.2130031776
269	0.2127580437
270	0.2121979219
271	0.2120569534
272	0.2118351858
273	0.2116093789
274	0.2111938338
275	0.2107234415
276	0.2103616679
277	0.2098108689
278	0.2095161286
279	0.2092205213
280	0.2089414219
281	0.2087479569
282	0.2083946441
283	0.2077682936
284	0.2072739958
285	0.2068655255
286	0.2064755259
287	0.2060593
288	0.205503817
289	0.2051470011
290	0.2050173154
291	0.2047054579
292	0.2045892691
293	0.2042903614
294	0.2040433998
295	0.2030071522
296	0.2025395673
297	0.2016450706
298	0.2013061659
299	0.200953781
300	0.2007261867
301	0.2004142184
302	0.1996859859
303	0.1988148848
304	0.1987054342
305	0.198477013
306	0.1979723122
307	0.197514144
308	0.1969974603
309	0.1967428913
310	0.1960076634
311	0.1951259231
312	0.1947036716
313	0.1941174514
314	0.1937793555
315	0.1933934092
316	0.1927403834
317	0.1923946177
318	0.1921988274
319	0.191955264
320	0.1916208329
321	0.1914632742
322	0.1909908667
323	0.1903041024
324	0.1901755356
325	0.1894507018
326	0.1891943817
327	0.1888832309
328	0.1883861532
329	0.1875280941
330	0.187311683
331	0.1868150529
332	0.1866964804
333	0.1862508087
334	0.1859717246
335	0.1855628886
336	0.1852138562
337	0.1846039791
338	0.1844869013
339	0.1844381633
340	0.1842329032
341	0.1841054482
342	0.1839616603
343	0.183839581
344	0.1835375933
345	0.1831147165
346	0.1829837044
347	0.1826474745
348	0.1820267824
349	0.1818625836
350	0.1814775824
351	0.1811293402
352	0.1806446664
353	0.1800437007
354	0.1799070632
355	0.1795485951
356	0.1794448237
357	0.1790130032
358	0.1788568344
359	0.1786942405
360	0.1785979968
361	0.1785731162
362	0.1777283031
363	0.1773922077
364	0.1771952115
365	0.1765205927
366	0.1762722915
367	0.1760797553
368	0.1759773339
369	0.1752164097
370	0.1750153956
371	0.1749164224
372	0.1746498921
373	0.1741591607
374	0.1738877668
375	0.1737783201
376	0.1732999256
377	0.1732242161
378	0.1731428548
379	0.1730598347
380	0.1729229598
381	0.1726739325
382	0.1724931725
383	0.1723403098
384	0.1722726372
385	0.1719859598
386	0.1718403936
387	0.171441783
388	0.1711789168
389	0.1710874205
390	0.170952638
391	0.1706174746
392	0.1703009347
393	0.1700416828
394	0.1697649443
395	0.1696149995
396	0.1693024784
397	0.1690132894
398	0.1687520322
399	0.1685823826
400	0.1683527643
401	0.1682916803
402	0.1682055321
403	0.1679547756
404	0.1676445986
405	0.1675803128
406	0.167413357
407	0.1672668437
408	0.1671398672
409	0.1670631143
410	0.1667183306
411	0.1666287674
412	0.1663098526
413	0.1661009266
414	0.1654826667
415	0.1652946376
416	0.1650126159
417	0.1649720371
418	0.1642859886
419	0.1642044987
420	0.1641682311
421	0.1638170536
422	0.1637476618
423	0.163680038
424	0.163490129
425	0.163326462
426	0.1631027658
427	0.1630245534
428	0.1624467547
429	0.162190445
430	0.1620118641
431	0.16170342
432	0.1614050605
433	0.161120081
434	0.160834184
435	0.1607076316
436	0.1603364118
437	0.1601256635
438	0.159891765
439	0.1594288858
440	0.1591650559
441	0.1589929952
442	0.1588648229
443	0.1585963604
444	0.1582804162
445	0.1580982837
446	0.1579616214
447	0.1576177745
448	0.1575159921
449	0.1574369479
450	0.1571785226
451	0.1568431203
452	0.1566322463
453	0.1563696708
454	0.156166935
455	0.1560739263
456	0.1559860338
457	0.1557678203
458	0.1554722323
459	0.1548599333
460	0.1547040089
461	0.1545572586
462	0.1543878549
463	0.1542871185
464	0.1542093245
465	0.1539982553
466	0.1537132157
467	0.1535544817
468	0.1532522594
469	0.1531004094
470	0.1526606598
471	0.1522704771
472	0.1520739275
473	0.1517993543
474	0.151715624
475	0.1514400406
476	0.1512488684
477	0.1508684734
478	0.150835536
479	0.1506959524
480	0.1503622748
481	0.1500941028
482	0.1499046512
483	0.1496558425
484	0.1494744187
485	0.149273505
486	0.149194678
487	0.149120908
488	0.1489161374
489	0.1486638159
490	0.1484102513
491	0.1483314115
492	0.1482496651
493	0.1481794986
494	0.1479931316
495	0.1479237891
496	0.1474769379
497	0.1472356209
498	0.1470575895
499	0.1467061157
500	0.1465348756
501	0.1463548063
502	0.1460303901
503	0.1457723546
504	0.1456529158
505	0.1455539717
506	0.1455049684
507	0.145439604
508	0.1452974345
509	0.1452604835
510	0.1451166804
511	0.1446728042
512	0.1443174495
513	0.1442983716
514	0.1441523617
515	0.1439269705
516	0.1437149308
517	0.143445819
518	0.1433865335
519	0.1432975245
520	0.1430614685
521	0.1429586659
522	0.1428670785
523	0.1428118305
524	0.142646972
525	0.1424611472
526	0.1421729706
527	0.1416963802
528	0.1415715064
529	0.1413026067
530	0.141076398
531	0.1409651718
532	0.1409125225
533	0.140866967
534	0.1407634131
535	0.1406821654
536	0.1405289956
537	0.1403604214
538	0.1400047024
539	0.1396679207
540	0.1395904261
541	0.1393673965
542	0.1392765576
543	0.1389463825
544	0.1386871135
545	0.1384689822
546	0.1382745614
547	0.1382197907
548	0.1381177387
549	0.1379459761
550	0.1378545918
551	0.1377558224
552	0.1376765844
553	0.1375560441
554	0.1375050032
555	0.1373487985
556	0.137201926
557	0.1368905123
558	0.1367286136
559	0.1365352838
560	0.1363496567
561	0.1363009877
562	0.136161881
563	0.1360537242
564	0.1360101428
565	0.1359619877
566	0.1357830748
567	0.1355625904
568	0.1352483461
569	0.1349705043
570	0.1345534484
571	0.1343174828
572	0.1341206722
573	0.1340287633
574	0.1339826318
575	0.1338163167
576	0.1335783063
577	0.1334606069
578	0.1334042608
579	0.1333615159
580	0.1332881606
581	0.1332093091
582	0.1330169765
583	0.1328139269
584	0.1326946432
585	0.1325791808
586	0.1322967736
587	0.1321346698
588	0.132043736
589	0.1318914966
590	0.1317557712
591	0.1315520578
592	0.1313812946
593	0.1312026352
594	0.1309721545
595	0.1308876691
596	0.1305685288
597	0.130320777
598	0.1301153378
599	0.1299278009
600	0.1297733849
601	0.1295264698
602	0.1293932876
603	0.1293549259
604	0.1292564007
605	0.1291074624
606	0.1290843897
607	0.1289087414
608	0.1287754687
609	0.1286488667
610	0.1285971451
611	0.1283519321
612	0.1282922675
613	0.1282733612
614	0.1282165248
615	0.1282108969
616	0.128052087
617	0.1280105085
618	0.1278564118
619	0.1276458311
620	0.127515765
621	0.1272341265
622	0.1270756611
623	0.1270396275
624	0.1268452141
625	0.1268311886
626	0.1265798578
627	0.1265502405
628	0.1265127873
629	0.1263271315
630	0.1260547362
631	0.1259995827
632	0.1258251595
633	0.1257720894
634	0.1257460509
635	0.1257180991
636	0.1255874025
637	0.1254713506
638	0.125374505
639	0.1252318812
640	0.1249828558
641	0.1247851392
642	0.1245600114
643	0.1244450781
644	0.124316016
645	0.1240777023
646	0.1239254087
647	0.1237955155
648	0.1234104281
649	0.123283153
650	0.1232054436
651	0.1228519268
652	0.1227350728
653	0.1226655708
654	0.1226053183
655	0.1222595622
656	0.1221785391
657	0.1220730793
658	0.1219182533
659	0.1217923915
660	0.1217011666
661	0.1215632232
662	0.1213307658
663	0.1211754736
664	0.1210736038
665	0.1209929363
666	0.1208358401
667	0.1207840592
668	0.120686537
669	0.1205351102
670	0.1203908408
671	0.1202667874
672	0.1201828254
673	0.1201004977
674	0.1200068401
675	0.1198256616
676	0.1196150259
677	0.1193185543
678	0.1191446439
679	0.1188937759
680	0.1188590633
681	0.1185607742
682	0.1184325973
683	0.1182293973
684	0.1181702964
685	0.1181013923
686	0.1180013107
687	0.1177903656
688	0.1176352542
689	0.1175415299
690	0.1174015076
691	0.1172761014
692	0.1169445707
693	0.1165275087
694	0.1164764338
695	0.1164021332
696	0.1163829303
697	0.1162870021
698	0.1162087244
699	0.1160746758
700	0.1160010768
701	0.1158852568
702	0.1156885769
703	0.1156218515
704	0.115530614
705	0.1154980574
706	0.1154366525
707	0.1153761312
708	0.1152235685
709	0.1151018507
710	0.114903025
711	0.1147868356
712	0.1146757616
713	0.1146460683
714	0.114553792
715	0.1144959938
716	0.1143788567
717	0.1143041917
718	0.1139856523
719	0.1139203156
720	0.1138264175
721	0.1137961406
722	0.1135474207
723	0.1134789476
724	0.1133983443
725	0.1133435484
726	0.1133183095
727	0.1131167269
728	0.1130324815
729	0.1129349306
730	0.1127318989
731	0.112542664
732	0.1124663562
733	0.1122957879
734	0.1122027641
735	0.1119302245
736	0.1118369962
737	0.1118074112
738	0.1117733312
739	0.1116029456
740	0.1113501484
741	0.111324159
742	0.1112385966
743	0.1112232958
744	0.1111557429
745	0.1110482322
746	0.1110024477
747	0.1108958132
748	0.1106949901
749	0.110583009
750	0.1105344578
751	0.1104331242
752	0.1102661531
753	0.1101510362
754	0.1101378871
755	0.1101243976
756	0.1100480923
757	0.1098161139
758	0.1097209769
759	0.1096224439
760	0.1095502315
761	0.1094073893
762	0.1093263128
763	0.1090149628
764	0.1089800975
765	0.1089262299
766	0.1087940323
767	0.1087231634
768	0.1087064171
769	0.1086562949
770	0.1086057215
771	0.1085798673
772	0.1085040933
773	0.1084489584
774	0.1083667895
775	0.1083359849
776	0.1081704242
777	0.1081348279
778	0.1080458107
779	0.107789259
780	0.1075406267
781	0.1074214526
782	0.1073966037
783	0.1072053149
784	0.107058221
785	0.106908189
786	0.1068470185
787	0.1066914212
788	0.1066657881
789	0.1065940319
790	0.1064713152
791	0.1064145261
792	0.1063248403
793	0.1062608642
794	0.1060470254
795	0.1059455259
796	0.1058540968
797	0.105730488
798	0.1056343775
799	0.1056257507
800	0.1054488304
801	0.1054286762
802	0.1053868128
803	0.1052398546
804	0.1051079957
805	0.1050336534
806	0.1048474916
